X,Y,Z,Distance
-0.356,0.022,0.598,0.688
-0.354,0.024,0.594,0.689
-0.355,0.024,0.590,0.689
-0.355,0.025,0.586,0.689
-0.357,0.027,0.581,0.692
-0.357,0.029,0.577,0.688
-0.356,0.031,0.575,0.691
-0.357,0.034,0.573,0.685
-0.362,0.038,0.568,0.683
-0.366,0.043,0.564,0.680
-0.366,0.049,0.562,0.680
-0.367,0.053,0.560,0.678
-0.370,0.058,0.556,0.675
-0.370,0.062,0.554,0.673
-0.372,0.060,0.552,0.671
-0.371,0.064,0.548,0.672
-0.370,0.065,0.545,0.671
-0.370,0.065,0.541,0.672
-0.368,0.067,0.538,0.674
-0.367,0.067,0.534,0.677
-0.363,0.070,0.525,0.680
-0.358,0.070,0.522,0.685
-0.353,0.070,0.514,0.687
-0.347,0.072,0.509,0.696
-0.338,0.070,0.503,0.697
-0.330,0.072,0.495,0.704
-0.320,0.071,0.490,0.713
-0.313,0.066,0.480,0.717
-0.304,0.067,0.472,0.727
-0.293,0.068,0.462,0.728
-0.283,0.067,0.451,0.738
-0.271,0.070,0.440,0.749
-0.262,0.072,0.429,0.753
-0.248,0.073,0.419,0.763
-0.236,0.075,0.410,0.773
-0.225,0.079,0.397,0.783
-0.203,0.088,0.370,0.799
-0.193,0.094,0.356,0.806
-0.181,0.102,0.340,0.813
-0.169,0.111,0.326,0.821
-0.127,0.155,0.258,0.853
-0.108,0.165,0.240,0.851
-0.097,0.174,0.222,0.859
-0.084,0.186,0.205,0.867
-0.071,0.194,0.188,0.877
-0.057,0.201,0.172,0.885
-0.043,0.212,0.154,0.895
-0.029,0.221,0.136,0.907
-0.016,0.228,0.119,0.918
-0.001,0.234,0.103,0.929
0.013,0.241,0.087,0.940
0.024,0.247,0.071,0.950
0.040,0.255,0.057,0.962
0.053,0.261,0.044,0.971
0.065,0.266,0.027,0.981
0.077,0.274,0.014,0.991
0.088,0.283,-0.001,0.998
0.098,0.292,-0.015,1.008
0.109,0.303,-0.029,1.018
0.121,0.313,-0.041,1.026
0.129,0.318,-0.056,1.034
0.141,0.328,-0.069,1.043
0.151,0.337,-0.081,1.053
0.161,0.347,-0.092,1.066
0.171,0.356,-0.105,1.073
0.182,0.365,-0.116,1.082
0.200,0.382,-0.139,1.112
0.211,0.390,-0.152,1.125
0.222,0.397,-0.162,1.135
0.235,0.406,-0.173,1.149
0.247,0.413,-0.184,1.161
0.261,0.421,-0.195,1.176
0.274,0.428,-0.205,1.188
0.288,0.434,-0.215,1.204
0.301,0.440,-0.226,1.220
0.314,0.445,-0.235,1.233
0.327,0.452,-0.247,1.243
0.340,0.460,-0.255,1.259
0.345,0.456,-0.255,1.252
0.365,0.473,-0.269,1.282
0.374,0.480,-0.280,1.292
0.384,0.487,-0.287,1.300
0.393,0.496,-0.295,1.310
0.402,0.504,-0.303,1.321
0.411,0.511,-0.311,1.329
0.418,0.520,-0.317,1.340
0.421,0.521,-0.320,1.330
0.432,0.535,-0.334,1.349
0.440,0.544,-0.340,1.358
0.449,0.549,-0.347,1.363
0.092,0.331,-0.049,0.941
0.090,0.333,-0.050,0.942
0.088,0.334,-0.051,0.938
0.087,0.337,-0.053,0.938
0.086,0.340,-0.055,0.935
0.085,0.343,-0.056,0.934
0.085,0.343,-0.057,0.934
0.085,0.345,-0.058,0.934
0.084,0.347,-0.059,0.934
0.084,0.351,-0.058,0.931
0.081,0.352,-0.061,0.930
0.080,0.355,-0.061,0.929
0.080,0.357,-0.061,0.929
0.079,0.357,-0.061,0.929
0.078,0.357,-0.061,0.928
0.080,0.358,-0.060,0.926
0.080,0.356,-0.060,0.926
0.079,0.358,-0.060,0.927
0.080,0.358,-0.060,0.928
0.081,0.359,-0.061,0.925
0.082,0.359,-0.060,0.927
0.082,0.361,-0.061,0.927
0.082,0.360,-0.060,0.927
0.083,0.360,-0.060,0.926
0.083,0.358,-0.061,0.924
0.083,0.362,-0.062,0.925
0.081,0.363,-0.063,0.924
0.082,0.365,-0.064,0.923
0.081,0.366,-0.065,0.922
0.081,0.365,-0.066,0.923
0.081,0.366,-0.065,0.922
0.083,0.366,-0.064,0.923
0.082,0.365,-0.064,0.923
0.083,0.363,-0.064,0.922
0.082,0.362,-0.064,0.924
0.085,0.361,-0.062,0.925
0.085,0.359,-0.061,0.926
0.087,0.359,-0.060,0.925
0.085,0.359,-0.061,0.923
0.085,0.359,-0.062,0.926
0.085,0.360,-0.062,0.923
0.085,0.359,-0.063,0.925
0.086,0.360,-0.062,0.924
0.087,0.357,-0.062,0.925
0.086,0.356,-0.063,0.924
0.086,0.354,-0.061,0.923
0.085,0.354,-0.062,0.925
0.085,0.355,-0.062,0.924
0.084,0.356,-0.062,0.921
0.081,0.357,-0.063,0.919
0.080,0.360,-0.064,0.915
0.080,0.361,-0.066,0.914
0.079,0.362,-0.070,0.912
0.081,0.363,-0.070,0.911
0.082,0.361,-0.070,0.908
0.082,0.362,-0.071,0.907
0.083,0.359,-0.073,0.906
0.086,0.360,-0.073,0.902
0.087,0.359,-0.076,0.902
0.089,0.362,-0.078,0.899
0.091,0.365,-0.081,0.897
